pk_estacional_mes,score_mensual_promedio,variabilidad_score,confort_pct,aggregated_at
9,65.32,20.08,57.73,2026-04-14 09:57:56.419936-05
8,64.38,20.31,56.12,2026-04-14 09:57:56.419936-05
2,64.84,18.46,55.99,2026-04-14 09:57:56.419936-05
3,64.74,17.04,55.4,2026-04-14 09:57:56.419936-05
7,64.18,18.1,54.56,2026-04-14 09:57:56.419936-05
4,63.63,16.46,53.15,2026-04-14 09:57:56.419936-05
6,63.33,16.33,52.0,2026-04-14 09:57:56.419936-05
5,62.83,16.12,51.47,2026-04-14 09:57:56.419936-05
10,62.44,17.07,50.36,2026-04-14 09:57:56.419936-05
1,61.8,18.87,48.82,2026-04-14 09:57:56.419936-05
12,61.78,17.07,48.51,2026-04-14 09:57:56.419936-05
11,60.46,16.17,44.35,2026-04-14 09:57:56.419936-05
